system,model_id,backend,setting,language,row_id,question,gold_answer,gold_chunk_id,generated_answer,judge_legal_correctness,judge_evidence_support,judge_completeness,judge_clarity,judge_hallucination
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,76,Тіркеу әрекеттеріне қандай іс-әрекеттер жатады?,"Тіркеу әрекеттеріне заңды тұлғаларды мемлекеттік тіркеу, жылжымалы мүлік кепілін және кеме ипотекасын мемлекеттік тіркеу, ғарыш объектілерін және оларға құқықтарды мемлекеттік тіркеу, көлік құралдарын мемлекеттік тіркеу және қайта тіркеу, дәрілік заттар мен медициналық бұйымдарды мемлекеттік тіркеу және қайта тіркеу, теле- радиоарнаны, мерзімді баспасөз басылымын, ақпараттық агенттікті және желілік басылымды есепке қою жатады.",766,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,77,Жайылымдық алқаптардың жем қоры қанша күнге жетеді?,Жайылымдық алқаптардың жем қоры 170-180 күнге жетеді.,225,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,78,Тікелей шетелдік инвестициялардың жалпы ағынының қалыптастыру мерзімі қандай?,"Жыл сайын, есепті жылдан кейінгі жылдың 20 сәуіріне қарай.",57,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,79,Уран өндіруге арналған келісімшарттың қолданысын тоқтату туралы құзыретті орган жер қойнауын пайдаланушыға қанша уақыт бұрын ескертуі керек?,Құзыретті орган келісімшарттың қолданысын тоқтату туралы жер қойнауын пайдаланушыға екі айдан кешіктірмей ескертуі керек.,270,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,80,Теміржол вокзалдарында мүгедектерге қандай қызметтер қамтамасыз етілуі тиіс?,"Теміржол вокзалдарында мүгедектерге арнайы жол белгілері, ыңғайлы қозғалыс жолдары, ақпараттық сигналдық құрылғылар, кезекші кресло-арба, арнайы кабиналар мен таксофондар қамтамасыз етілуі тиіс.",126,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,81,Жер қойнауы учаскесін түрлендіруге арналған өтініште қандай мәліметтер қамтылуға тиіс?,"Өтініште түрлендіру тәсілі, жер қойнауын пайдаланушы туралы мәліметтер, лицензияларға және түрлендірілетін учаскелерге нұсқау қамтылуға тиіс.",357,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,82,Пайдалы қазбаларды өндіру салығын есептеу кезінде қандай көлемдер салықтық кезеңдегі жалпы көлемнен алып тасталады?,Технологиялық сынап көру мен зерттеулер жүргізу үшін берілетін көлемдер алып тасталады.,1002,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,83,Қазақстанға Еуразиялық экономикалық одақтан импортталатын тауарлар үшін қосылған құн салығын төлеу қандай әдіспен жүзеге асырылады?,Қосылған құн салығы есепке жатқызу әдісімен төленеді.,639,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,84,Жеке тұлғалардың мүлік салығына қатысты қандай өзгеріс енгізілді?,525-бапқа өзгеріс енгізілді - ҚР 2019Заңымен (2018 бастап қолданысқа енгізіледі).,753,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,85,Салық төлеуші лизинг шартында көзделген төлем мерзімінен кейін салық органына қандай мерзімде өтініш беруі керек?,Салық төлеуші салықтық кезеңнен кейінгі айдың 20-ынан кешіктірмей өтініш беруі керек.,683,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,86,Автокөлік құралының Қазақстан аумағымен жүріп өткені үшін алымды төлеу мерзімі қандай?,Алым сомасы факт анықталған күннен бастап бес жұмыс күнінен кешіктірілмейтін мерзімде бюджетке төленуі тиіс.,768,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,87,Жер қойнауын пайдалануға арналған келісімшарттар қандай міндеттемелерді қамтуы тиіс?,"Келісімшарттар жер қойнауын пайдаланушының шығындарды өтеу, сенімгерлік басқарушыға сыйақы төлеу, жергілікті қамту, салықтық емес сипаттағы төлемдер және ілеспе газды қайта өңдеу міндеттемелерін қамтуы тиіс.",537,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,88,Сырғанау бетінде тереңдігі 1 миллиметрден артық сырғақ байқалған жағдайда қандай қағидаларға басшылық жасау қажет?,Теміржол көлігіндегі техникалық пайдалану қағидалары талаптарын басшылыққа алу қажет.,109,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,89,Алыс-беріс шикізатын қайта өңдеу мерзімі қалай анықталады?,"Қайта өңдеуге арналған шарттың (келісімшарттың) күні мен нөмірі, қайта өңдеу мерзімі көрсетіледі.",671,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,90,Бірыңғай жер салығын есептеу үшін қандай мөлшерлеме қолданылады?,"Бірыңғай жер салығын есептеу үшін 0,5 пайыз мөлшерлеме қолданылады.",954,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,91,Пайдалы қатты қазбаларды барлауға арналған лицензия мерзімін ұзарту өтініші қашан берілуі керек?,Ұзарту туралы өтініш барлауға арналған лицензия қолданысының алтыншы жылы ішінде берілуі керек.,306,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,92,Қазақстан Республикасының азаматтығын алу кезінде кімдер мемлекеттік баж төлеуден босатылады?,"Жаппай қуғын-сүргін, күштеп ұжымдастыру кезеңдерінде Қазақстан аумағынан кетуге мәжбүр болған адамдар және олардың ұрпақтары, сондай-ақ қандастар босатылады.",846,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,93,Қандай жағдайларда жеке тұлғалар нотариаттық әрекеттер жасаған кезде мемлекеттік баж төлеуден босатылады?,Жеке тұлғалар өздерінің мүлкін мемлекет пайдасына сыйға тарту өсиеттерін куәландырғаны үшін мемлекеттік баж төлеуден босатылады.,845,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,94,Жер қойнауы кеңістігін пайдалануға арналған лицензияны қандай жағдайларда беруге тыйым салынады?,"Лицензияны басқа тұлғаның пайдалануындағы жер қойнауы учаскесінің аумағына, пайдалы қазбаларды барлау немесе өндіру салдарын жою жүргізіліп жатқан жер қойнауы учаскесінің аумағына, жерасты шаруашылық-ауыз су учаскелері аумағына беруге тыйым салынады.",364,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,95,Жер қойнауын пайдалану құқығын беруге арналған конкурстарды өткізу жөніндегі комиссияның негізгі міндеттері қандай?,"Пайдалы қазбаларды барлауға, өндіруге жер қойнауын пайдалану құқығын алуға арналған аукционға қатысу үшін өтінімдерді қарау және жеңімпазды анықтау.",478,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,96,645-бапқа енгізілген соңғы өзгерістер қашан қолданысқа енгізіледі?,2024 жылдан бастап.,873,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,97,"Дипломатиялық өкілдікке немесе консулдық мекемеге консулдық алымдардан түсетін түсімдер 1 000 АҚШ долларынан аз болса, оларды аудару мерзімі қандай?","Аудару тоқсан сайын, есепті айдан кейінгі айдың 10-күнінен кешіктірілмейтін мерзімде жүзеге асырылады.",857,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,98,Пайдалы қазбаларды өндіру салығы қалай төленеді?,"Пайдалы қазбаларды өндіру салығы негізінен ақшалай нысанда төленеді, бірақ кей жағдайларда заттай нысанға ауыстырылуы мүмкін.",1003,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,99,Ауыл шаруашылығы өнімін өндірушілер корпоративтік табыс салығын қанша пайызға азайта алады?,Ауыл шаруашылығы өнімін өндірушілер корпоративтік табыс салығын 70 пайызға азайта алады.,950,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,100,Әлеуметтік салықты есептеу кезінде бюджетке төленетін салық сомасы қалай анықталады?,Бюджетке төленетін әлеуметтік салық сомасы есептелген әлеуметтік салық пен әлеуметтік аударымдар сомасы арасындағы айырма ретінде анықталады.,713,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,101,Шекарамаңы жер қойнауы учаскесінде көмірсутектер бойынша жер қойнауын пайдалану жөніндегі операцияларды тоқтата тұру туралы шешім қабылданғаннан кейін құзыретті орган жер қойнауын пайдаланушыға қанша уақыт ішінде хабарлауы керек?,Үш жұмыс күні ішінде.,255,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,102,Күкіртті ашық түрде күкірт карталарында орналастыру үшін төлемақы мөлшерлемесі қандай?,"Бір тонна үшін 3,77 АЕК құрайды.",799,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,103,Жерасты құрылыстарын салуға қатысты 44-бапқа енгізілген өзгерістер қашан қолданысқа енеді?,Алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енеді.,511,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,104,Жолаушыны тасымалдау шартын қалай рәсімдейді?,Жолаушыны тасымалдау шартын жол жүру құжатымен (билетпен) рәсімдейді.,104,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,105,Жолаушылар поезы сағатына 161 километр және одан артық жылдамдықпен жүргенде қандай талап қойылады?,Жолаушылар поезы вагондар арасындағы саңылаусыз автотіркегішпен жабдықталуы керек.,79,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,106,Көлік құралы ұрланған жағдайда салық төлеуден босату үшін қандай құжат негіз болады?,Ішкі істер органдарының көлік құралын айдап әкету (ұрлау) туралы арыздың Сотқа дейінгі тергеп-тексерулердің бірыңғай тізілімінде тіркелу фактісін растайтын мәліметтер негіз болады.,720,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,107,Пайдалы қатты қазбаларды қайта өңдеу туралы келісімді жасау үшін қандай құжаттар қажет?,"Өтінішке жер қойнауын пайдаланушының заңды тұлға ретінде мемлекеттік тіркеу туралы анықтама, заңды тұлға жарғысының көшірмесі, қайта өңдеу жобасының қаржылық-экономикалық моделі, бизнес-жоспары және келісімнің жобасы қоса беріледі.",359,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,108,123-бапқа енгізілген өзгерістер қашан қолданысқа енгізіледі?,Алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.,621,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,109,Жеке тұлғаларға электрондық сауда арқылы тауарлар мен қызметтерді сатқан кезде қосылған құн салығы қалай есептеледі?,"Қосылған құн салығы электрондық нысанда өткізілген тауарлардың, көрсетілетін қызметтердің құнына салық мөлшерлемесін қолдану арқылы есептеледі.",1050,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,110,Жер қойнауын пайдалану келісімшарттары бойынша төлемдер кезеңділігі қалай анықталады?,Төлемдер кезеңділігі келісімшартта белгіленеді.,395,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,111,Экспортқа рента салығы бойынша салықтық кезең қандай?,Экспортқа рента салығы бойынша салықтық кезең күнтізбелік тоқсан болып табылады.,974,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,112,Жер қойнауын пайдалануға мемлекеттік сараптама жүргізу мерзімі қанша уақытты құрайды?,Жер қойнауына мемлекеттік сараптама жүргізу мерзімі тиісті өтініш келіп түскен күннен бастап алты айдан аспауға тиіс.,618,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,113,Көмірсутектерді өндіруге арналған келісімшартта конкурс жеңімпазы қандай шығыстар мөлшерін қабылдауы керек?,Өңірді әлеуметтік-экономикалық дамытуға және оның инфрақұрылымын дамытуға арналған шығыстар мөлшерін.,429,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,114,Мұнай операцияларын жүргізу кезінде қандай шараларды қабылдау қажет?,"Жер қойнауын пайдаланушы адамдардың өмірі мен денсаулығына, қоршаған ортаға және мүлікті жоюға қатер төндіретін авариялар мен қауіпті жағдайларды болдырмау шараларын қабылдауға міндетті.",583,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,115,Өтініш туралы мәліметтер құзыретті органның интернет-ресурсында қанша уақыт ішінде орналастырылады?,Өтініш берілген күннен бастап екі күн ішінде орналастырылады.,321,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,116,Құқықтық сараптама қанша уақыт ішінде жүргізіледі?,Құқықтық сараптама жиырма жұмыс күні ішінде жүргізіледі.,432,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,117,Ерекше құнды жер қойнауы учаскелерін өзге қажеттер үшін алып қоюға рұқсат етіле ме?,Ерекше құнды жер қойнауы учаскелерін өзге қажеттер үшін алып қоюға жол берілмейді.,609,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,118,Жүрдек жолаушылар поезының өтуіне қанша уақыт қалғанда малды айдап өтуге тыйым салынады?,Кемінде 20 минут қалғанда.,87,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,119,Жұмыстар аяқталғаннан кейін құрылғыларды іске қосу қалай жүзеге асырылады?,Жұмыстар аяқталғаннан кейін құрылғыларды іске қосуды жұмыс басшысының журналдағы жазбасы немесе станция бойынша кезекшіге берілген телефонхат негізінде станция бойынша кезекші жүргізеді.,99,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,120,Теміржол жылжымалы құрамының техникалық қызмет көрсетуі қалай қамтамасыз етіледі?,"Техникалық қызмет көрсету локомотив бригадалары немесе АЖҚ бригадалары арқылы, қазіргі заманғы диагностика құралдарымен жабдықталған орындарда жүйелі түрде тексеру арқылы қамтамасыз етіледі.",73,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,121,ТҰК және ірі компаниялармен құрылған бірлескен кәсіпорындар санының есебі қай уақытқа дейін жүргізілуі керек?,Есепті жылдан кейінгі жылдың 1 наурызына қарай.,56,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,122,Бейрезиденттің Қазақстандағы дивидендтеріне салықтық жеңілдіктер қалай қолданылады?,Бейрезиденттің дивидендтеріне салықтық жеңілдіктер халықаралық шартты қолдану тәртібімен реттеледі.,900,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,123,2015 жылғы 1 қаңтарға дейін жасалған келісімшарттарға қандай өзгерістер енгізіледі?,Жер қойнауын пайдаланушының тауарлардағы жергілікті қамту жөніндегі міндеттемелерін алып тастау көзделетін өзгерістер мен толықтырулар енгізіледі.,556,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,124,Үстеме пайда салығын төлеу мерзімі қандай?,Үстеме пайда салығы декларация тапсыру үшін белгіленген мерзімнен кейін күнтізбелік он күннен кешіктірілмей төленеді.,1033,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,125,Әлеуметтік салықтың мөлшерлемесі 2025 жылдан бастап қандай болады?,2025 жылғы 1 қаңтардан бастап әлеуметтік салық мөлшерлемесі 11 пайыз болады.,712,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,126,Жою жоспарына өзгерістер енгізу үшін қандай мерзім белгіленген?,Өнеркәсіптік қауіпсіздік сараптамасы мен мемлекеттік экологиялық сараптаманың соңғы оң қорытындыларын алған күннен бастап үш жылдан кешіктірмей.,337,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,127,Жер қойнауын пайдаланушылар есептерді қандай жүйе арқылы ұсынады?,Жер қойнауын пайдалануды басқарудың бірыңғай мемлекеттік жүйесі арқылы.,252,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,128,Қазақстан Республикасының аумағынан тұрақты негізде халықаралық қатынаста жолаушылар мен жүктерді тасымалдауды жүзеге асыратын отандық автокөлік құралдары үшін алым мөлшері қандай?,10 еселенген АЕК мөлшері.,774,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,129,Салық декларациясы қашан ұсынылуы керек?,Салық декларациясы есепті тоқсаннан кейінгі екінші айдың 15-күнінен кешіктірілмей ұсынылуы керек.,830,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,130,Шекара маңындағы кен орнында барлау мен өндіруді тоқтату туралы кім талап ете алады?,Құзыретті орган талап ете алады.,584,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,131,Салық салу объектісі бірнеше тұлғаның ортақ үлестік меншiгiнде болған жағдайда салық төлеушi қалай анықталады?,"Салық салу объектісі бірнеше тұлғаның ортақ үлестік меншiгiнде болса, осы тұлғалардың әрқайсысы салық төлеушi деп танылады.",755,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,132,Қазақстан Республикасында тұрақты болмайтын шетелдіктердің кірістеріне салық салу қалай жүзеге асырылады?,"Егер шетелдік немесе азаматтығы жоқ адам Қазақстан Республикасында тұрақты деп танылмаса, онда олардың жұмыс беруші болып табылмайтын тұлғадан алынған кірістері салық салуға жатпайды.",889,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,hf,LLM-only,kz,133,Инновациялық технологиялар паркіне қатысушылардың жобаларын қаржыландыру міндеттемелерін орындау не деп танылады?,Дербес кластерлік қорға ақша жіберу.,571,GEN_FAILED: ImportError: Using `bitsandbytes` 4-bit quantization requires bitsandbytes: `pip install -U bitsandbytes>=0.46.1`,,,,,
